iter	RMSE
393	0.3367693821
394	0.3360832907
395	0.3352098762
396	0.3345696204
397	0.3337241319
398	0.333316269
399	0.3327795247
400	0.3323301703
401	0.3316014647
402	0.3308145767
403	0.3299989202
404	0.329390615
405	0.3286588246
406	0.3276450391
407	0.3269379433
408	0.3261939997
409	0.3260543087
410	0.3256052485
411	0.3254167321
412	0.3250834559
413	0.3239920926
414	0.3231380291
415	0.3223716594
416	0.3217209569
417	0.3210658863
418	0.3203261314
419	0.319590177
420	0.3184364143
421	0.3173818378
422	0.3167251218
423	0.3161156152
424	0.3152837265
425	0.3147174411
426	0.3141981805
427	0.313513684
428	0.3130454416
429	0.3123268279
430	0.3117172282
431	0.3108478715
432	0.3105577193
433	0.309710521
434	0.309044484
435	0.3087918528
436	0.3085007824
437	0.3075027631
438	0.3066241642
439	0.3058436316
440	0.3057286123
441	0.3048159668
442	0.3040170133
443	0.3035459262
444	0.3027270952
445	0.3023846311
446	0.3017526075
447	0.3015213621
448	0.3012651093
449	0.3011278706
450	0.3004334505
451	0.2997919952
452	0.2993883052
453	0.2990341871
454	0.2984444057
455	0.2982300997
456	0.2978320003
457	0.2973238134
458	0.2968947564
459	0.296770282
460	0.2960025439
461	0.2955498709
462	0.2952064602
463	0.2942606142
464	0.293660764
465	0.2931608898
466	0.2927588679
467	0.2918413552
468	0.2911889147
469	0.2905343936
470	0.2898270401
471	0.289596105
472	0.2887517853
473	0.2880833819
474	0.2876694781
475	0.2870947399
476	0.2865698398
477	0.2858042112
478	0.2851192851
479	0.2845585817
480	0.2842613589
481	0.283867233
482	0.2835108601
483	0.2829476027
484	0.2823313174
485	0.2821582107
486	0.281691133
487	0.2814660917
488	0.2812353847
489	0.2809538489
490	0.2802498244
491	0.2795004713
492	0.2793879296
493	0.2789233297
494	0.2783696968
495	0.2776794354
496	0.2771250746
497	0.277048799
498	0.2768984889
499	0.2764476157
500	0.2763720497
501	0.2759254513
502	0.2752062916
503	0.2745167305
504	0.2740541881
505	0.2736028584
506	0.2728603557
507	0.272535844
508	0.2723930851
509	0.271781706
510	0.2716735372
511	0.2714682272
512	0.2709876983
513	0.2705899518
514	0.2700695832
515	0.2695459774
516	0.2691007233
517	0.2686547308
518	0.2685443498
519	0.2680922595
520	0.267573093
521	0.2669347281
522	0.266451097
523	0.2657266238
524	0.2655885642
525	0.2651811519
526	0.2644566535
527	0.2636552454
528	0.2630220969
529	0.2621702275
530	0.2614368001
531	0.2608603643
532	0.2601332958
533	0.2596714443
534	0.2591893921
535	0.2586714171
536	0.2582064861
537	0.2578542058
538	0.2574554426
539	0.2568968899
540	0.2568236064
541	0.2560859283
542	0.255810792
543	0.2557279735
544	0.2556348113
545	0.2555611076
546	0.2548655647
547	0.2544032677
548	0.2543330913
549	0.2542634829
550	0.2538650698
551	0.2536412238
552	0.2531193764
553	0.2529989937
554	0.2525226687
555	0.2524511883
556	0.2519438345
557	0.2515077142
558	0.2514464403
559	0.2508680272
560	0.2503638376
561	0.2498526067
562	0.249308511
563	0.2487314167
564	0.2482984555
565	0.2480282291
566	0.2476132848
567	0.2472575812
568	0.2472204902
569	0.2469081992
570	0.2464482554
571	0.2460438745
572	0.2455191181
573	0.2451675319
574	0.2450809962
575	0.2448610736
576	0.2448100249
577	0.2446207729
578	0.2442325799
579	0.2441855394
580	0.2436902359
581	0.2431608483
582	0.242700968
583	0.2420587827
584	0.241572464
585	0.2410146431
586	0.2405201456
587	0.2399480548
588	0.2398981506
589	0.2393973175
590	0.238856413
591	0.2387171392
592	0.2379362158
593	0.2374671493
594	0.2371899981
595	0.2364029206
596	0.2358274799
597	0.2357824577
598	0.2353959653
599	0.2349972414
600	0.2349502628
601	0.2344538035
602	0.2337186307
603	0.2334083263
604	0.233333295
605	0.2330665472
606	0.2326859412
607	0.2325956511
608	0.2323640044
609	0.2318077979
610	0.2314318941
611	0.2314010287
612	0.2309007351
613	0.2305237372
614	0.2300626632
615	0.2296678252
616	0.2293228008
617	0.2287459397
618	0.2286816612
619	0.2283395065
620	0.228279502
621	0.2277765423
622	0.2273648474
623	0.2269293042
624	0.2264651221
625	0.2264062759
626	0.2263451391
627	0.2262835022
628	0.2260190465
629	0.2256258559
630	0.2253106462
631	0.2249427564
632	0.2245659897
633	0.2243301267
634	0.2239165137
635	0.2234988282
636	0.2230515259
637	0.2227138205
638	0.2224184847
639	0.2217354495
640	0.2216831572
641	0.2213917808
642	0.2210263562
643	0.2207282663
644	0.2203123521
645	0.2198974676
646	0.219726593
647	0.2193445239
648	0.2187088176
649	0.2182138739
650	0.2179080358
651	0.2175967785
652	0.2174509168
653	0.2170506267
654	0.2166674773
655	0.2165372387
656	0.2162802372
657	0.2156467313
658	0.2153095462
659	0.2149580884
660	0.2149072248
661	0.2148330093
662	0.2145509766
663	0.2142618551
664	0.2142325112
665	0.2138546047
666	0.2134143229
667	0.2130790824
668	0.21304321
669	0.2128014615
670	0.2123317276
671	0.2120825434
672	0.2117912148
673	0.211509976
674	0.2114844648
675	0.2110372684
676	0.210795283
677	0.21035951
678	0.2103260886
679	0.2099252979
680	0.2098690942
681	0.2095902905
682	0.2091199795
683	0.2086430609
684	0.2082566407
685	0.2079694673
686	0.2077179685
687	0.2073952567
688	0.2071806499
689	0.206800818
690	0.2067492859
691	0.2064378918
692	0.2063919879
693	0.206025053
694	0.2057187464
695	0.2056950413
696	0.2054040015
697	0.2050329059
698	0.2044532631
699	0.2044078006
700	0.2040326539
701	0.203844872
702	0.2034492124
703	0.2032828762
704	0.2028415705
705	0.2025911719
706	0.2021328692
707	0.2017863058
708	0.2014427032
709	0.2009937573
710	0.2006693059
711	0.2004751647
712	0.2004177866
713	0.2001167815
714	0.1997099617
715	0.1993959852
716	0.1989439954
717	0.1989171554
718	0.1985472352
719	0.1982414517
720	0.1979838108
721	0.1977716779
722	0.1973772483
723	0.197035148
724	0.1965938508
725	0.1965653208
726	0.196269782
727	0.1960263549
728	0.1957341858
729	0.1953511984
730	0.1948862353
731	0.1945079044
732	0.1942339117
733	0.1940978053
734	0.1940433321
735	0.1937174373
736	0.1932213491
737	0.1931452945
738	0.1930522852
739	0.1927129633
740	0.192385537
741	0.1923604468
742	0.1921100624
743	0.1916370678
744	0.1912606905
745	0.1909165981
746	0.1905813373
747	0.1901631866
748	0.1899261403
749	0.1896613095
750	0.1895537284
751	0.1895334564
752	0.1891774965
753	0.1888508296
754	0.1883127753
755	0.1880789359
756	0.1877255324
757	0.1877072503
758	0.1873155115
759	0.1869360751
760	0.186517885
761	0.1862438663
762	0.1862108965
763	0.1861226226
764	0.1857354348
765	0.1854052216
766	0.1853771112
767	0.1849984777
768	0.1845918811
769	0.1843130484
770	0.1841393945
771	0.1837849778
772	0.183491057
773	0.1832392376
774	0.1827868413
775	0.1825525512
776	0.1821468657
777	0.1818070707
778	0.1817773007
779	0.1814155223
780	0.1813994739
781	0.1811465154
782	0.1808275359
783	0.1805064079
784	0.1801058692
785	0.1797710644
786	0.1796007512
787	0.1791705518
788	0.1788438706
789	0.1787585547
790	0.1787244947
791	0.1784054642
792	0.1781905531
793	0.1778285492
794	0.1774024754
795	0.1769569399
796	0.1766546956
797	0.1765735355
798	0.1762560582
799	0.1759071164
800	0.1758745292
801	0.1755611499
802	0.1752682286
803	0.1748972772
804	0.1748782901
805	0.1746169869
806	0.1742272636
807	0.1739263753
808	0.1736565945
809	0.1732697149
810	0.17283099
811	0.1725848889
812	0.1723355975
813	0.171980865
814	0.1716929764
815	0.1713462144
816	0.1710102475
817	0.1707356475
818	0.1704125188
819	0.1703872542
820	0.1700875888
821	0.1697740057
822	0.1694884948
823	0.1691715776
824	0.1687720154
825	0.1684584846
826	0.1680892106
827	0.1678699313
828	0.1674731934
829	0.1671298222
830	0.1667994176
831	0.1665176268
832	0.1662433434
833	0.1659999704
834	0.165978309
835	0.1656596005
836	0.1652097988
837	0.1648987519
838	0.1648808795
839	0.1646705418
840	0.1644879914
841	0.1644742639
842	0.164304757
843	0.1640231908
844	0.1637284354
845	0.1634909553
846	0.1631185997
847	0.1629333531
848	0.1626725477
849	0.1622480471
850	0.1621228896
851	0.1618115145
852	0.161570392
853	0.1613973959
854	0.1611621278
855	0.1608914696
856	0.1608490257
857	0.1604817849
858	0.1604466751
859	0.1603293565
860	0.1598858318
861	0.1595578076
862	0.1592447895
863	0.1588968907
864	0.1585353368
865	0.1581623287
866	0.1578626579
867	0.1576137681
868	0.1574312409
869	0.1572413737
870	0.1571306164
871	0.1566992835
872	0.1564995658
873	0.1563153013
874	0.1561274139
875	0.1556359568
876	0.1555646506
877	0.1554127178
878	0.1551054142
879	0.1550814773
880	0.1548853222
881	0.1545420869
882	0.1542638262
883	0.1540992915
884	0.154047095
885	0.1537528241
886	0.1535412654
887	0.1532682843
888	0.1530023061
889	0.1527679895
890	0.1524565885
891	0.1524320939
892	0.1520899547
893	0.1517362464
894	0.1516341636
895	0.1514752287
896	0.1511437655
897	0.1510731065
898	0.1510419015
899	0.1506882185
900	0.1506188907
901	0.1506056089
902	0.1503232217
903	0.1502768052
904	0.1500063475
905	0.1499929784
906	0.1496021123
907	0.149496193
908	0.1493001307
909	0.1490743166
910	0.1487970527
911	0.1484243953
912	0.1480392624
913	0.1478353491
914	0.1475929622
915	0.1475748232
916	0.1474011219
917	0.1471848659
918	0.1467909686
919	0.1465902065
920	0.1464585107
921	0.1463784106
922	0.1461501695
923	0.1458767086
924	0.1455751141
925	0.14534828
926	0.1450860079
927	0.1447341212
928	0.1444696289
929	0.1443365836
930	0.144210047
931	0.1439547919
932	0.1437123322
933	0.1434194021
934	0.1431018155
935	0.1430689143
936	0.1428602755
937	0.1426950336
938	0.1426647517
939	0.1425907425
940	0.1423844859
941	0.1422107557
942	0.1419223
943	0.141736299
944	0.1414463058
945	0.1414322157
946	0.1411168105
947	0.14084541
948	0.1405110168
949	0.1402712379
950	0.1400861994
951	0.140056545
952	0.1399720139
953	0.139758907
954	0.1394846783
955	0.1394612631
956	0.1392950103
957	0.1391563759
958	0.1389868469
959	0.1387285505
960	0.1384063006
961	0.1382309822
962	0.1378685607
963	0.1377580078
964	0.1374737086
965	0.1372616102
966	0.1371144567
967	0.1368809712
968	0.1365917369
969	0.136301419
970	0.1361234653
971	0.1358683635
972	0.1356846363
973	0.135588688
974	0.1354244058
975	0.135378195
976	0.1351694462
977	0.1350633518
978	0.1349303642
979	0.1347223873
980	0.1345247327
981	0.1344864522
982	0.1342719782
983	0.1340729848
984	0.133878313
985	0.1335265932
986	0.1334949559
987	0.1332483988
988	0.1331099384
989	0.1330850342
990	0.132875459
991	0.1326202982
992	0.1323925854
993	0.1321156472
994	0.1320042367
995	0.1317562444
996	0.1317363336
997	0.1317067467
998	0.1314380103
999	0.131410592
